Name,Pos,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Al Horford,C,29,29.0,33.0,18.6,2.3,6.1,8.4,2.6,0.9,1.5,2.2,1.9,1.2,22.08,8.2,14.5,56.7,0.1,0.4,36.4,2.0,2.9,68.2,8.1,14.1,57.2,1.281,0.57
Paul Millsap,PF,74,73.0,33.5,17.9,2.1,6.4,8.5,3.1,1.7,1.1,2.5,2.8,1.3,19.83,6.5,14.1,46.1,1.0,2.9,35.8,3.9,5.3,73.1,5.5,11.3,48.7,1.268,0.5
Jeff Teague,PG,79,79.0,32.2,16.5,0.4,2.2,2.6,6.7,1.1,0.2,2.9,2.0,2.3,17.16,5.8,13.2,43.8,0.9,2.8,32.9,4.0,4.8,84.6,4.8,10.3,46.9,1.254,0.47
Kyle Korver,G,71,71.0,33.9,12.0,0.3,3.7,4.0,2.9,1.0,0.3,1.4,2.1,2.0,13.55,4.1,8.6,47.5,2.6,5.5,47.2,1.2,1.3,92.6,1.5,3.1,47.9,1.396,0.63
DeMarre Carroll,F,73,73.0,32.1,11.1,1.5,4.1,5.5,1.8,1.5,0.3,1.1,2.6,1.7,13.96,4.1,8.8,47.0,1.3,3.7,36.2,1.5,1.9,77.3,2.8,5.1,54.8,1.262,0.55
Lou Williams,SG,60,7.0,24.1,10.4,0.2,1.9,2.1,3.5,0.8,0.1,1.5,1.1,2.3,14.24,3.3,8.2,40.0,1.3,3.9,34.2,2.5,3.0,84.9,2.0,4.4,45.0,1.268,0.48
Mike Scott,PF,80,6.0,18.5,9.6,0.8,2.8,3.6,0.9,0.4,0.1,1.0,1.5,0.9,15.34,3.8,7.9,47.9,0.8,2.5,31.0,1.3,1.7,78.0,3.0,5.4,55.8,1.2209999999999999,0.53
Shelvin Mack,G,73,11.0,20.4,7.5,0.3,1.9,2.2,3.7,0.7,0.0,1.2,1.4,3.0,13.28,2.9,6.9,41.7,0.8,2.5,33.7,0.9,1.0,86.5,2.0,4.3,46.4,1.0859999999999999,0.48
Pero Antic,PF,50,26.0,18.5,7.0,1.1,3.0,4.2,1.2,0.4,0.2,1.1,2.5,1.1,11.74,2.5,5.9,41.8,1.1,3.4,32.7,1.0,1.3,75.8,1.3,2.5,54.5,1.197,0.51
Cartier Martin,PF,53,6.0,15.5,5.9,0.2,1.8,2.0,0.6,0.5,0.1,0.6,1.3,0.9,10.92,2.0,4.8,41.4,1.1,2.8,38.4,0.9,1.2,75.4,0.9,2.1,45.5,1.227,0.52
Elton Brand,PF,73,15.0,19.4,5.7,1.3,3.6,4.9,1.0,0.5,1.2,0.8,2.6,1.2,14.05,2.5,4.5,53.9,0.0,0.0,0.0,0.8,1.3,64.9,2.5,4.5,54.2,1.262,0.54
James Nunnally,G,4,0.0,13.5,4.5,0.3,1.8,2.0,0.5,0.3,0.3,1.0,0.5,0.5,6.24,1.5,4.5,33.3,0.8,2.5,30.0,0.8,1.0,75.0,0.8,2.0,37.5,1.0,0.42
Gustavo Alfonso Ayon,PF,26,14.0,16.5,4.3,1.6,3.2,4.8,1.1,1.0,0.4,1.1,1.8,1.0,12.93,2.0,3.9,51.0,0.0,0.0,0.0,0.3,0.8,40.0,2.0,3.9,51.0,1.0979999999999999,0.51
Mike Muscala,PF,20,0.0,10.8,3.8,0.9,1.8,2.6,0.4,0.2,0.5,0.6,1.5,0.6,10.84,1.6,3.7,42.5,0.0,0.2,0.0,0.7,0.7,100.0,1.6,3.5,44.3,1.041,0.42
Dennis Schroder,PG,49,0.0,13.1,3.7,0.1,1.1,1.2,1.9,0.3,0.0,1.2,1.1,1.5,5.81,1.5,3.8,38.3,0.2,0.9,23.8,0.6,0.9,67.4,1.3,3.0,42.5,0.973,0.41
John Jenkins,G,13,0.0,12.2,3.1,0.2,1.5,1.7,0.8,0.1,0.1,0.8,0.8,1.0,4.7,1.2,3.2,38.1,0.3,1.4,22.2,0.3,0.3,100.0,0.9,1.8,50.0,0.9520000000000001,0.43
Jared Cunningham,G,5,0.0,4.4,0.4,0.0,0.2,0.2,0.6,0.0,0.0,0.4,0.6,1.5,-1.83,0.2,0.4,50.0,0.0,0.2,0.0,0.0,0.4,0.0,0.2,0.2,100.0,1.0,0.5
Dexter Pittman,C,2,0.0,1.5,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,13.08,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0
Total,atl,82,,,101.0,8.7,31.3,40.0,24.9,8.3,4.0,14.5,19.2,1.7,,37.3,81.6,45.8,9.4,25.8,36.3,17.0,21.7,78.1,28.0,55.8,50.2,1.238,0.52
Brook Lopez,C,17,17.0,31.4,20.7,2.3,3.7,6.0,0.9,0.5,1.8,1.6,3.1,0.6,25.5,7.6,13.5,56.3,0.0,0.1,0.0,5.5,6.8,81.7,7.6,13.4,56.6,1.537,0.56
Joe Johnson,G,79,79.0,32.6,15.8,0.6,2.8,3.4,2.7,0.6,0.1,1.5,1.6,1.8,15.54,5.8,12.9,45.4,2.1,5.1,40.1,2.0,2.5,81.5,3.8,7.8,48.9,1.2229999999999999,0.53
Deron Williams,PG,64,58.0,32.2,14.3,0.2,2.4,2.6,6.1,1.5,0.2,2.2,2.3,2.7,17.69,5.0,11.2,45.0,1.5,4.2,36.6,2.7,3.4,80.1,3.5,7.0,50.0,1.278,0.52
Paul Pierce,SF,75,68.0,28.0,13.5,0.3,4.3,4.6,2.4,1.1,0.4,2.0,2.5,1.2,16.81,4.3,9.5,45.1,1.5,4.0,37.3,3.4,4.1,82.6,2.8,5.5,50.7,1.419,0.53
Marcus Thornton,SG,26,1.0,23.8,12.3,0.7,2.2,2.8,1.2,1.0,0.1,1.1,1.4,1.0,16.15,4.2,10.2,41.4,2.0,5.3,38.0,1.8,2.3,80.0,2.2,5.0,45.0,1.203,0.51
Andray Blatche,C,73,7.0,22.2,11.2,1.6,3.7,5.3,1.5,1.0,0.5,1.5,2.3,1.0,18.85,4.4,9.2,47.6,0.2,0.7,27.8,2.2,3.0,74.2,4.2,8.5,49.4,1.218,0.49
Mirza Teletovic,PF,72,7.0,19.4,8.6,0.8,2.9,3.7,0.8,0.4,0.3,0.8,2.0,1.1,14.38,3.1,7.3,41.8,1.9,4.8,39.0,0.6,0.9,71.0,1.2,2.5,47.2,1.176,0.55
Shaun Livingston,G,76,54.0,26.0,8.3,0.9,2.4,3.2,3.2,1.2,0.4,1.4,2.3,2.3,14.52,3.1,6.4,48.3,0.0,0.1,16.7,2.1,2.5,82.7,3.1,6.3,48.6,1.2919999999999998,0.48
Mason Plumlee,C,70,22.0,18.2,7.4,1.4,3.0,4.4,0.9,0.7,0.8,1.1,2.4,0.8,19.09,2.8,4.3,65.9,0.0,0.0,0.0,1.7,2.8,62.6,2.8,4.3,66.6,1.722,0.66
Alan Anderson,SG,78,26.0,22.7,7.2,0.5,1.7,2.2,1.0,0.6,0.1,0.8,1.9,1.3,9.5,2.5,6.2,40.0,1.1,3.2,33.9,1.2,1.5,78.0,1.4,3.0,46.4,1.163,0.49
Kevin Garnett,PF,54,54.0,20.5,6.5,1.1,5.5,6.6,1.5,0.8,0.7,1.3,2.3,1.2,13.35,2.9,6.6,44.1,0.0,0.1,0.0,0.7,0.9,80.9,2.9,6.5,44.5,0.9890000000000001,0.44
Andrei Kirilenko,SF,45,4.0,19.0,5.0,1.2,2.0,3.2,1.6,0.9,0.4,1.2,1.4,1.3,12.48,1.8,3.6,51.2,0.0,0.1,20.0,1.4,2.6,51.3,1.8,3.4,52.3,1.413,0.52
Jason Terry,G,35,0.0,16.3,4.5,0.1,0.9,1.1,1.6,0.4,0.0,0.8,1.4,2.1,7.48,1.6,4.3,36.2,1.1,2.9,37.9,0.3,0.4,66.7,0.5,1.4,32.7,1.046,0.49
Jorge Gutierrez,G,15,2.0,16.3,4.1,0.2,1.3,1.5,2.0,0.7,0.1,0.9,2.5,2.1,8.76,1.7,3.6,46.3,0.2,0.8,25.0,0.6,0.8,75.0,1.5,2.8,52.4,1.148,0.49
Tyshawn Taylor,PG,23,3.0,11.7,3.9,0.1,0.5,0.7,1.6,0.5,0.0,1.3,1.3,1.2,5.47,1.3,4.0,34.1,0.1,0.5,25.0,1.0,1.3,80.0,1.2,3.4,35.4,0.978,0.36
Marquis Teague,G,21,1.0,9.6,3.0,0.0,1.0,1.0,1.4,0.4,0.0,1.0,1.0,1.4,8.46,1.0,2.5,41.5,0.1,0.4,37.5,0.7,0.9,78.9,0.9,2.1,42.2,1.17,0.44
Reggie Evans,C,30,6.0,13.3,2.7,1.8,3.2,5.0,0.2,0.4,0.1,0.9,1.8,0.2,8.97,0.8,2.0,39.0,0.0,0.0,0.0,1.2,2.2,53.8,0.8,2.0,39.0,1.3730000000000002,0.39
Tornike Shengelia,SF,17,0.0,8.1,1.5,0.2,0.6,0.8,0.7,0.1,0.1,0.6,0.9,1.1,3.32,0.6,1.4,45.8,0.0,0.4,0.0,0.2,0.5,37.5,0.6,1.1,61.1,1.042,0.46
Jason Collins,C,22,1.0,7.8,1.1,0.3,0.5,0.9,0.2,0.4,0.0,0.3,1.4,0.6,4.12,0.5,1.1,45.8,0.0,0.1,0.0,0.1,0.2,75.0,0.5,1.0,52.4,1.042,0.46
Total,bkn,82,,,98.5,8.8,29.4,38.1,20.9,8.6,3.8,14.0,21.7,1.5,,35.7,77.9,45.9,8.6,23.4,36.9,18.4,24.4,75.3,27.1,54.5,49.7,1.264,0.51
Jeff Green,PF,82,82.0,34.2,16.9,0.7,4.0,4.6,1.7,0.7,0.6,2.0,2.2,0.8,13.17,5.9,14.3,41.2,1.6,4.8,34.1,3.5,4.3,79.5,4.2,9.5,44.8,1.18,0.47
Avery Bradley,PG,60,58.0,30.9,14.9,0.8,3.0,3.8,1.4,1.1,0.2,1.6,2.4,0.9,12.8,6.0,13.8,43.8,1.3,3.3,39.5,1.5,1.9,80.4,4.7,10.4,45.1,1.08,0.49
Jordan Crawford,G,39,35.0,30.7,13.7,0.5,2.6,3.1,5.7,0.9,0.1,2.2,1.9,2.7,15.73,4.8,11.7,41.3,1.3,4.0,31.8,2.8,3.2,87.3,3.5,7.6,46.3,1.178,0.47
Jared Sullinger,C,74,44.0,27.6,13.3,3.3,4.9,8.1,1.6,0.5,0.7,1.6,3.4,1.0,16.42,5.2,12.1,42.7,0.8,2.8,26.9,2.1,2.7,77.8,4.4,9.3,47.5,1.092,0.46
Rajon Rondo,PG,30,30.0,33.3,11.7,0.7,4.7,5.5,9.8,1.3,0.1,3.3,2.2,3.0,15.34,4.7,11.7,40.3,0.9,3.0,28.9,1.4,2.2,62.7,3.8,8.7,44.2,1.0,0.44
Brandon Bass,PF,82,73.0,27.6,11.1,2.0,3.8,5.7,1.1,0.4,0.9,1.2,2.3,0.9,15.01,4.3,8.8,48.6,0.0,0.1,33.3,2.5,2.9,85.8,4.3,8.8,48.7,1.2570000000000001,0.49
Jerryd Bayless,G,41,14.0,25.3,10.1,0.3,1.8,2.1,3.1,1.0,0.1,1.5,2.2,2.1,12.51,3.9,9.2,41.8,1.2,3.1,39.5,1.2,1.5,80.3,2.6,6.1,43.0,1.101,0.49
Kelly Olynyk,F,70,9.0,20.0,8.7,2.0,3.2,5.2,1.6,0.5,0.4,1.5,3.2,1.0,15.27,3.3,7.2,46.6,0.6,1.6,35.1,1.4,1.7,81.1,2.8,5.5,50.0,1.209,0.51
Kris Humphries,PF,69,30.0,19.9,8.4,1.8,4.1,5.9,1.0,0.4,0.9,0.9,2.0,1.0,18.28,3.3,6.7,50.1,0.0,0.0,0.0,1.7,2.1,81.3,3.3,6.7,50.3,1.256,0.5
Courtney Lee,G,30,0.0,16.8,7.4,0.3,1.4,1.6,1.1,0.7,0.3,0.8,1.2,1.3,14.66,3.0,6.1,49.2,0.8,1.7,44.2,0.6,0.7,81.8,2.2,4.4,51.1,1.208,0.55
Chris Johnson,SG,40,0.0,19.7,6.3,0.8,1.7,2.4,0.8,0.7,0.1,0.6,1.6,1.4,10.8,2.1,5.4,39.7,1.1,3.2,33.9,0.9,1.1,86.0,1.1,2.2,48.3,1.168,0.5
Gerald Wallace,SF,58,16.0,24.4,5.1,0.6,3.0,3.7,2.5,1.3,0.2,1.7,1.4,1.5,10.02,2.0,4.0,50.4,0.3,1.1,29.7,0.8,1.7,46.5,1.7,2.9,58.4,1.296,0.55
Vitor Faverani,C,37,8.0,13.2,4.4,1.1,2.3,3.5,0.4,0.4,0.7,1.1,2.0,0.4,11.08,1.7,4.0,43.5,0.3,1.1,30.0,0.6,1.0,64.9,1.4,2.9,48.6,1.1159999999999999,0.48
MarShon Brooks,G,10,0.0,7.3,3.1,0.1,1.8,1.9,0.4,0.1,0.1,0.7,0.5,0.6,10.76,0.9,2.4,37.5,0.2,0.4,50.0,1.1,1.4,78.6,0.7,2.0,35.0,1.2919999999999998,0.42
Phil Pressey,PG,75,11.0,15.1,2.8,0.3,1.1,1.4,3.2,0.9,0.1,1.2,1.3,2.8,8.78,1.0,3.4,30.8,0.4,1.4,26.4,0.4,0.6,64.4,0.7,2.0,34.0,0.8420000000000001,0.36
Keith Bogans,SG,6,0.0,9.2,2.0,0.0,0.5,0.5,0.5,0.2,0.0,0.2,0.3,3.0,9.88,0.5,1.0,50.0,0.5,1.0,50.0,0.5,0.5,100.0,0.0,0.0,0.0,2.0,0.75
Vander Blue,SG,3,0.0,5.0,1.7,0.0,1.0,1.0,0.3,0.0,0.0,0.7,0.3,0.5,0.53,0.7,1.3,50.0,0.0,0.3,0.0,0.3,1.7,20.0,0.7,1.0,66.7,1.25,0.5
Chris Babb,SG,14,0.0,9.4,1.6,0.3,0.9,1.2,0.2,0.4,0.0,0.2,0.9,1.0,3.73,0.6,2.1,26.7,0.4,1.9,22.2,0.0,0.0,0.0,0.1,0.2,66.7,0.733,0.37
Joel Anthony,C,21,0.0,7.1,1.0,0.6,0.9,1.5,0.1,0.1,0.4,0.1,0.6,1.0,8.16,0.5,1.2,38.5,0.0,0.0,0.0,0.1,0.3,33.3,0.5,1.2,38.5,0.846,0.38
