Name,DD
Pau Gasol,54
Andre Drummond,48
DeMarcus Cousins,47
DeAndre Jordan,47
Nikola Vucevic,45
Anthony Davis,42
Chris Paul,40
John Wall,40
LaMarcus Aldridge,39
Kevin Love,38
Zach Randolph,38
Greg Monroe,35
Tim Duncan,33
Tyson Chandler,31
Enes Kanter,31
Russell Westbrook,31
Ty Lawson,28
Kenneth Faried,26
Rudy Gobert,25
Stephen Curry,23
Derrick Favors,23
Dwight Howard,23
Marcin Gortat,22
Jordan Hill,22
LeBron James,22
Al Jefferson,22
Jonas Valanciunas,22
Hassan Whiteside,22
James Harden,21
Marc Gasol,20
Gorgui Dieng,18
Tyreke Evans,18
Draymond Green,18
Blake Griffin,18
Roy Hibbert,18
Timofey Mozgov,18
Nerlens Noel,18
Serge Ibaka,17
Brook Lopez,17
Reggie Jackson,15
Paul Millsap,15
Joakim Noah,15
Zaza Pachulia,15
Rajon Rondo,15
Josh Smith,15
Al Horford,14
Kawhi Leonard,14
Tristan Thompson,14
Omer Asik,13
Eric Bledsoe,13
Kyle Lowry,13
Mo Williams,13
Michael Kidd-Gilchrist,12
Markieff Morris,12
Elfrid Payton,12
Mason Plumlee,12
Jared Sullinger,12
Michael Carter-Williams,11
Tobias Harris,11
Nikola Pekovic,11
Deron Williams,11
Steven Adams,10
Giannis Antetokounmpo,10
Carlos Boozer,10
Alex Len,10
Jeff Teague,10
JJ Hickson,9
Luis Scola,9
Wilson Chandler,8
Taj Gibson,8
Terrence Jones,8
Nikola Mirotic,8
Chris Bosh,7
Donatas Motiejunas,7
Ricky Rubio,7
Jason Thompson,7
Evan Turner,7
David West,7
Cole Aldrich,6
Harrison Barnes,6
Bismack Biyombo,6
Andrew Bogut,6
Mike Conley,6
Ed Davis,6
Ersan Ilyasova,6
Kyrie Irving,6
Amir Johnson,6
Damian Lillard,6
Robin Lopez,6
Dirk Nowitzki,6
Alexis Ajinca,5
Carmelo Anthony,5
Brandon Bass,5
Nicolas Batum,5
Aron Baynes,5
Tarik Black,5
Luol Deng,5
Kevin Durant,5
Jrue Holiday,5
Jarrett Jack,5
Brandon Jennings,5
Marcus Morris Sr.,5
Dennis Schroder,5
Lavoy Allen,4
Al-Farouq Aminu,4
D.J. Augustin,4
Kobe Bryant,4
Jimmy Butler,4
Mario Chalmers,4
DeMar DeRozan,4
Goran Dragic,4
Chris Kaman,4
Zach LaVine,4
Luc Mbah a Moute,4
Jusuf Nurkic,4
Thomas Robinson,4
Derrick Rose,4
Henry Sims,4
Amar'e Stoudemire,4
P.J. Tucker,4
Kemba Walker,4
Lou Amundson,3
Ryan Anderson,3
Trevor Ariza,3
Trevor Booker,3
Corey Brewer,3
Trey Burke,3
DeMarre Carroll,3
Darren Collison,3
Monta Ellis,3
Kevin Garnett,3
Manu Ginobili,3
Udonis Haslem,3
Kris Humphries,3
Joe Johnson,3
Wesley Johnson,3
Carl Landry,3
Meyers Leonard,3
Jeremy Lin,3
Mitch McGary,3
Kyle O'Quinn,3
Victor Oladipo,3
Kelly Olynyk,3
Chandler Parsons,3
Patrick Patterson,3
Adreian Payne,3
Jason Smith,3
Dwyane Wade,3
Brandan Wright,3
Thaddeus Young,3
Tyler Zeller,3
Tony Allen,2
Darrell Arthur,2
Andrea Bargnani,2
Will Barton,2
Bradley Beal,2
Anthony Bennett,2
Patrick Beverley,2
Alec Burks,2
Jose Calderon,2
Jordan Clarkson,2
Austin Daye,2
Dewayne Dedmon,2
Matthew Dellavedova,2
Reggie Evans,2
Channing Frye,2
Rudy Gay,2
Drew Gooden,2
Danny Green,2
Justin Hamilton,2
Tyler Hansbrough,2
Gordon Hayward,2
Gerald Henderson,2
John Henson,2
George Hill,2
Robbie John Hummel,2
Richard Jefferson,2
James Johnson,2
Brandon Knight,2
Ian Mahinmi,2
Anthony Morrow,2
Nene,2
Jabari Parker,2
Paul Pierce,2
Iman Shumpert,2
Alexey Shved,2
Lance Stephenson,2
Rodney Stuckey,2
Anderson Varejao,2
Andrew Wiggins,2
Tony Wroten,2
Cody Zeller,2
Quincy Acy,1
Furkan Aldemir,1
Chris Andersen,1
Matt Barnes,1
Michael Beasley,1
Avery Bradley,1
Aaron Brooks,1
Markel Brown,1
Omri Casspi,1
Chris Copeland,1
Robert Covington,1
Dante Cunningham,1
Samuel Dalembert,1
Boris Diaw,1
Spencer Dinwiddie,1
Wayne Ellington,1
James Ennis III,1
Tim Frazier,1
Joel Freeland,1
Aaron Gordon,1
Eric Gordon,1
Jeff Green,1
P.J. Hairston,1
Solomon Hill,1
Cory Jefferson,1
Jonas Jerebko,1
Tyler Johnson,1
Jerome Adolphus Jordan,1
Kyle Korver,1
Jeremy Lamb,1
Shane Larkin,1
David Lee,1
Jon Leuer,1
Shaun Livingston,1
Shelvin Mack,1
KJ McDaniels,1
Khris Middleton,1
C.J. Miles,1
Andre Miller,1
Shabazz Muhammad,1
Mike Muscala,1
Tony Parker,1
Miles Plumlee,1
Phil Pressey,1
Andre Roberson,1
Thabo Sefolosha,1
Kevin Seraphin,1
Donald Sloan,1
Tony Snell,1
Marreese Speights,1
Tiago Splitter,1
Mirza Teletovic,1
Klay Thompson,1
Anthony Tolliver,1
Noah Vonleh,1
Dion Waiters,1
Derrick Williams,1
Marvin Williams,1
Shawne Williams,1
