PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
Russell Westbrook,81,34.6,.554,23.4,12.2,42.5,5.4,28.8,17.1,30.70,823.7,27.5
James Harden,81,36.4,.613,27.6,14.1,35.1,3.5,20.9,12.2,27.43,744.7,24.8
Joel Embiid,31,25.4,.585,9.2,16.3,33.6,8.5,25.6,17.0,24.15,159.0,5.3
Isaiah Thomas,76,33.8,.625,18.5,8.7,32.8,1.9,7.0,4.4,26.59,597.9,19.9
DeMar DeRozan,74,35.4,.552,12.6,7.8,32.7,3.0,13.6,8.3,24.09,531.4,17.7
John Wall,78,36.4,.541,29.5,11.4,31.7,2.4,10.6,6.5,23.28,519.7,17.3
DeMarcus Cousins,72,34.2,.562,14.3,11.6,31.0,7.0,29.2,18.2,25.84,527.4,17.6
Damian Lillard,75,35.9,.586,18.6,8.3,30.7,1.9,13.3,7.6,24.15,528.7,17.6
LeBron James,74,37.8,.619,25.6,12.0,30.1,4.0,20.7,12.6,27.11,692.7,23.1
Kyrie Irving,72,35.1,.580,19.3,8.3,29.9,2.3,7.5,5.0,23.09,455.6,15.2
Anthony Davis,75,36.1,.580,7.3,8.4,29.8,6.7,27.9,17.2,27.59,650.4,21.7
Kawhi Leonard,74,33.4,.610,13.3,7.9,29.6,3.7,15.7,9.8,27.62,632.4,21.1
Stephen Curry,79,33.4,.624,22.2,10.1,29.5,2.7,11.4,7.3,24.74,541.1,18.0
Dwyane Wade,60,29.9,.508,15.8,9.6,29.2,3.8,12.6,8.1,18.55,215.2,7.2
Kemba Walker,79,34.7,.569,19.6,7.6,28.3,1.8,10.6,6.2,21.41,425.4,14.2
Eric Bledsoe,66,33.0,.563,22.3,11.9,28.2,2.5,13.8,8.0,20.56,310.5,10.3
Carmelo Anthony,74,34.3,.535,11.1,8.0,28.0,2.6,16.0,9.3,17.96,282.6,9.4
Dennis Schroder,79,31.5,.533,24.0,12.4,27.9,1.9,9.0,5.5,16.18,192.0,6.4
Zach Randolph,73,24.5,.490,9.6,7.8,27.7,11.3,27.4,19.2,18.58,188.6,6.3
Devin Booker,78,35.0,.531,12.6,11.3,27.5,1.8,8.3,5.0,14.64,168.9,5.6
Andrew Wiggins,82,37.2,.534,8.7,8.6,27.5,3.8,8.8,6.3,16.62,278.2,9.3
Giannis Antetokounmpo,80,35.6,.599,19.8,10.7,27.4,5.9,22.6,14.3,26.13,663.7,22.1
Paul George,75,35.9,.587,12.7,11.1,27.2,2.5,17.9,10.3,20.30,393.4,13.1
Blake Griffin,61,34.0,.569,18.8,8.9,27.1,6.2,20.2,13.4,22.71,347.3,11.6
Goran Dragic,73,33.7,.575,22.0,11.0,27.0,2.8,9.9,6.3,19.84,324.3,10.8
Brook Lopez,75,29.6,.578,10.4,10.9,27.0,5.8,13.3,9.6,20.48,327.7,10.9
Reggie Jackson,52,27.4,.510,24.1,10.2,26.9,1.6,7.4,4.4,14.94,83.7,2.8
J.J. Barea,35,22.0,.521,31.1,10.1,26.8,1.3,11.9,6.3,17.26,72.0,2.4
Tyreke Evans,40,19.7,.501,20.8,10.2,26.8,1.8,17.2,9.5,15.53,59.2,2.0
Mike Conley,69,33.2,.604,24.6,8.9,26.8,1.5,10.8,6.0,23.26,419.3,14.0
Kevin Durant,62,33.4,.651,18.4,8.5,26.7,2.2,23.6,13.6,27.68,530.7,17.7
Jimmy Butler,76,37.0,.586,19.6,7.5,26.6,4.9,13.2,9.0,25.19,616.0,20.5
D'Angelo Russell,63,28.7,.518,21.2,12.3,26.5,1.8,11.9,6.7,15.36,117.9,3.9
Jeremy Lin,36,24.5,.566,25.1,11.7,26.3,1.3,14.7,8.1,19.33,109.8,3.7
Gordon Hayward,73,34.5,.595,14.5,8.1,26.3,2.3,15.4,9.0,22.23,440.6,14.7
Karl-Anthony Towns,82,37.0,.618,10.5,10.1,26.2,11.2,27.8,19.4,26.00,696.6,23.2
CJ McCollum,80,35.0,.585,14.1,8.5,26.2,2.4,9.1,5.7,19.99,395.9,13.2
Marc Gasol,74,34.2,.554,18.7,9.2,26.1,2.6,18.7,10.5,20.32,367.1,12.2
Dion Waiters,46,30.1,.507,19.6,10.1,26.0,1.4,10.9,6.1,14.61,84.8,2.8
Enes Kanter,72,21.3,.599,6.4,11.7,25.8,14.1,20.8,17.4,23.74,300.5,10.0
Chris Paul,61,31.5,.614,35.0,9.1,25.8,2.4,14.9,8.8,26.25,437.3,14.6
Derrick Rose,64,32.5,.530,18.6,9.7,25.6,3.4,9.3,6.4,17.05,188.0,6.3
Bradley Beal,77,34.9,.604,14.1,8.2,25.4,2.2,7.8,5.0,20.21,388.9,13.0
Kyle Lowry,60,37.4,.623,25.0,10.4,25.2,2.4,12.0,7.2,22.92,399.1,13.3
Jabari Parker,51,33.9,.563,12.4,8.1,24.8,5.4,15.7,10.6,19.15,197.2,6.6
Kevin Love,60,31.4,.573,9.4,9.9,24.6,8.9,29.3,19.5,21.18,272.4,9.1
Brandon Knight,54,21.1,.502,16.0,10.9,24.4,2.3,9.1,5.6,12.41,23.9,0.8
Rudy Gay,30,33.8,.559,12.6,11.2,24.3,4.0,17.5,10.8,17.95,112.7,3.8
Lou Williams,81,24.6,.593,15.0,10.0,24.3,1.4,9.9,5.5,21.44,325.5,10.8
Al Jefferson,66,14.1,.526,9.5,5.5,24.2,9.2,24.2,16.8,18.96,116.2,3.9
Klay Thompson,78,34.0,.592,9.1,7.3,24.1,2.2,9.2,5.9,17.53,278.0,9.3
Nikola Jokic,73,27.9,.640,24.2,11.5,24.0,11.6,27.2,19.5,26.40,453.3,15.1
Jrue Holiday,67,32.7,.532,29.6,11.8,23.8,2.2,10.6,6.4,17.19,202.4,6.7
Dirk Nowitzki,54,26.4,.529,9.5,5.9,23.7,1.8,28.3,14.4,17.10,118.9,4.0
Nikola Vucevic,75,28.8,.498,14.6,8.2,23.7,8.6,31.3,19.6,19.19,277.3,9.2
Paul Millsap,69,34.0,.542,16.2,10.1,23.5,5.3,19.5,12.5,17.91,224.1,7.5
Michael Beasley,56,16.7,.584,9.3,11.6,23.4,5.0,18.9,12.0,17.91,103.4,3.4
Dario Saric,81,26.3,.508,13.1,13.2,23.3,5.8,20.8,13.3,12.84,42.5,1.4
Greg Monroe,81,22.5,.573,16.2,12.1,23.1,10.8,23.1,17.0,21.23,289.3,9.6
Harrison Barnes,79,35.5,.541,7.2,6.3,23.1,3.7,13.1,8.2,16.34,244.3,8.1
George Hill,49,31.5,.599,20.8,8.7,23.1,1.8,10.5,6.2,19.38,193.0,6.4
Kristaps Porzingis,66,32.8,.546,7.4,9.0,23.1,5.5,18.2,11.8,17.49,193.3,6.4
Jeff Teague,82,32.4,.574,32.8,11.1,23.0,1.4,12.4,7.0,19.24,326.6,10.9
LaMarcus Aldridge,72,32.4,.532,9.9,7.0,23.0,8.5,16.6,12.7,18.66,249.4,8.3
Emmanuel Mudiay,55,25.6,.483,22.5,12.8,22.9,2.3,11.6,7.0,10.95,-1.1,-0.0
Jordan Clarkson,82,29.2,.526,14.0,10.8,22.6,2.2,9.3,5.6,13.23,79.7,2.7
Evan Fournier,68,32.9,.555,14.5,10.1,22.5,2.1,8.3,5.1,13.99,116.4,3.9
Jahlil Okafor,50,22.7,.546,8.4,13.2,22.5,7.9,15.5,11.7,14.88,72.5,2.4
Elfrid Payton,82,29.4,.520,30.9,10.4,22.5,3.9,13.9,8.7,17.25,225.1,7.5
